"Year","COM_HKL","COM_TWL","COM_NET","REC_PC","REC_PC_DIS","REC_PR","REC_PR_DIS","Total Landings","Total Dead"
2011,7.564,0,0,75.3294,1.57417,21.3399,0.416412,106.223882,106.223882
2012,8.533,0,0,102.566,4.4219,29.1283,0.617413,145.266613,145.266613
2013,10.999,0.073,0,111.629,1.30037,25.5279,0.503265,150.032535,150.032535
2014,12.651,0.051,0.013,83.2832,1.20484,18.5767,0.288825,116.068565,116.068565
2015,21.976,0.065,0.006,148.152,1.61712,23.8726,0.467971,196.156691,196.156691
2016,16.099,0.171,0.056,129.384,0.812573,25.2785,0.328029,172.129102,172.129102
2017,33.287,0.115,0.022,89.9564,1.18927,25.2819,0.250414,150.101984,150.101984
2018,40.246,0.034,0.039,82.3187,1.9086,17.2112,0.354806,142.112306,142.112306
2019,47.217,0.291,0.045,172.463,5.29551,33.6401,1.01981,259.97142,259.97142
2020,48.764,0.075,0.096,38.88,1.57579,19.8282,0.461492,109.680482,109.680482
